weekend,month,week,gp_rate,qvfluA,qvfluB,qvneg,qmflua,qmflub,qmtotal
5/1/2008,1,1,44.6,0,0,14,0,2,153
12/1/2008,1,2,43.7,2,0,30,4,7,185
19/1/2008,1,3,44.5,5,3,55,3,6,156
26/1/2008,1,4,50.7,10,4,70,3,1,178
2/2/2008,2,5,51.3,8,10,74,2,4,163
9/2/2008,2,6,28.6,2,6,32,8,9,198
16/2/2008,2,7,35.2,3,4,56,17,11,256
23/2/2008,2,8,63.4,17,13,79,13,21,280
1/3/2008,3,9,57.5,17,10,106,20,12,267
8/3/2008,3,10,75.9,15,20,128,24,32,359
15/3/2008,3,11,76.1,18,27,148,22,36,466
22/3/2008,3,12,53.7,6,10,58,12,23,370
29/3/2008,3,13,39.8,3,7,68,7,13,232
5/4/2008,4,14,45.6,1,9,54,5,4,212
12/4/2008,4,15,40,2,5,46,6,1,231
19/4/2008,4,16,46.2,3,2,63,3,7,197
26/4/2008,4,17,45.5,2,1,70,3,5,188
3/5/2008,5,18,53.1,3,1,59,0,1,224
10/5/2008,5,19,51.3,0,1,49,0,3,213
17/5/2008,5,20,42.3,2,0,37,3,1,168
24/5/2008,5,21,43.8,1,1,37,2,2,161
31/5/2008,5,22,37.8,3,0,37,2,0,190
7/6/2008,6,23,51,3,2,54,6,1,157
14/6/2008,6,24,42.1,4,3,64,6,1,212
21/6/2008,6,25,40.6,5,2,62,6,5,226
28/6/2008,6,26,39.6,7,6,67,8,2,196
5/7/2008,7,27,35.9,4,2,59,7,1,165
12/7/2008,7,28,34.8,12,2,69,20,5,219
19/7/2008,7,29,50.9,13,5,76,39,2,214
26/7/2008,7,30,50.3,15,1,66,40,3,297
2/8/2008,8,31,44.9,23,0,70,58,5,280
9/8/2008,8,32,35.3,9,2,34,39,6,259
16/8/2008,8,33,33.4,8,0,42,13,2,237
23/8/2008,8,34,42.3,6,1,45,17,1,235
30/8/2008,8,35,39.4,3,2,50,14,1,228
6/9/2008,9,36,41.9,3,1,50,10,3,210
13/9/2008,9,37,37.3,5,1,75,10,4,255
20/9/2008,9,38,36.5,4,1,59,11,1,210
27/9/2008,9,39,38.7,1,0,24,3,1,233
