hhID,soap_given,soap_remain
1,NA,NA
2,542.3,377.7
3,813.1,790.8
5,823.3,603.3
6,524.4,476.1
7,541.8,414
8,635,479.8
9,NA,NA
11,538.6,482.4
12,539.4,510
13,537.7,359.5
14,820.7,722
15,NA,NA
16,NA,NA
17,NA,NA
18,543.9,518.2
19,536.6,510
20,540.9,460.6
21,547.4,401.9
22,NA,NA
23,1351,1113
25,NA,NA
26,534.7,433.7
27,1090,1178
28,1084.2,1001.6
29,NA,NA
30,809.5,706.7
34,542.8,500
35,NA,NA
36,549.9,500
37,NA,NA
38,NA,NA
40,NA,NA
41,535.1,486.1
42,NA,NA
43,NA,NA
44,543,500.1
45,543.6,492.3
46,NA,NA
47,NA,NA
49,539,524.2
50,634.3,489.2
51,NA,NA
53,268.2,193.1
54,NA,NA
55,827,734.3
56,542.3,526
59,NA,NA
60,NA,NA
61,805.5,635.4
62,544,483.9
64,NA,NA
65,524,513.5
67,NA,NA
69,NA,NA
70,537.7,306.5
71,539.6,466.3
72,812.5,732
74,805.7,665.2
75,808.6,735.6
76,NA,NA
77,537.1,377.5
78,536.3,494.4
79,542.3,392
80,811.1,716.8
81,811.5,655.4
82,NA,NA
83,NA,NA
84,815.1,721.3
85,540.1,NA
86,NA,NA
87,NA,NA
88,546.5,511.4
90,NA,NA
91,533.9,498.7
92,NA,NA
94,536,465.2
95,810.2,746.8
96,810.9,707.3
97,543.8,516.1
98,NA,NA
100,545.3,427.3
101,NA,NA
102,NA,NA
103,633.9,436.9
104,544,490
105,NA,NA
106,543,534
107,538.4,463.9
108,537.1,471.4
109,NA,NA
110,543.7,492.7
111,539.4,436
112,NA,NA
113,811.9,762.9
115,537.3,517.9
116,801.2,721.5
117,538.8,364.6
118,NA,NA
120,NA,NA
123,814.9,573.4
124,544.7,531.5
125,NA,NA
126,NA,NA
127,NA,NA
129,539.3,500.4
130,800.9,490.1
131,NA,NA
132,823.8,746.2
133,549.4,445
134,NA,NA
136,539.4,498.9
137,539.7,490.8
138,NA,NA
139,537,466
140,546.4,398.7
141,541.5,541.5
142,534.3,491
144,543.1,422.5
145,538.1,476.3
147,814.3,626.2
148,547.4,533.3
149,1087.1,923.9
150,NA,NA
151,NA,NA
152,542.8,269.9
153,NA,NA
154,531.4,438.5
155,NA,NA
156,537,354.1
157,820.2,728.8
158,543.5,391.1
160,NA,NA
161,546.5,446.8
162,538.6,489.4
163,542.1,502.2
167,811.7,670.6
168,547.5,491.3
169,545.1,352
171,815.1,541.9
172,545.1,440.4
173,NA,NA
174,815.2,720.3
175,540.7,444.4
176,536.5,464.2
177,NA,NA
178,NA,NA
179,NA,NA
180,540.1,409.9
181,NA,NA
182,548.6,521.4
183,814.7,684.7
184,544.1,492.6
185,537.4,477.5
186,552.6,382.6
187,544.6,467.3
188,534.3,436.6
189,543.7,473.6
190,539.5,237.2
192,NA,NA
194,NA,NA
195,NA,NA
196,544.1,519.7
199,540.8,373.9
200,NA,NA
201,554.6,475.7
204,NA,NA
205,548,374
206,812.3,751
207,532.1,449
208,550.1,413.9
209,542.1,437.9
210,NA,NA
212,NA,NA
214,540.8,329
215,528.9,425.3
216,544.2,455.9
217,544.2,502.4
218,NA,NA
219,819.2,698.6
220,544.4,428.2
222,793.8,718.7
223,NA,NA
224,1089,968.3
225,792.3,741.5
227,NA,NA
228,527.5,492.4
229,NA,NA
230,NA,NA
231,1057.5,549.4
232,805.2,728.1
233,1079.9,985.4
234,1088.1,968.7
235,1903.5,1713.7
236,543.7,504.3
237,793.6,665
239,NA,NA
240,NA,NA
241,799.6,794.2
242,539.5,354.8
243,NA,NA
244,NA,NA
245,541.9,506.2
246,541.4,497.9
247,539.4,474.9
248,263.5,168.1
250,532.5,532.5
251,825.1,700.3
253,790.4,616.4
254,NA,NA
255,NA,NA
256,NA,NA
257,NA,NA
260,540.4,499
261,NA,NA
262,269.7,159.2
264,537.5,452.8
265,532.5,341.9
267,NA,NA
268,NA,NA
269,533,313.7
270,NA,NA
271,807,721.3
272,534.5,471.2
273,528.7,433.8
274,537.1,510
276,540.8,506.9
277,538.6,421.6
278,NA,NA
279,534.2,416.5
280,802.1,227.8
282,811.1,533.2
283,812.7,567.8
284,798.9,675.3
285,NA,NA
286,541.6,464.7
287,NA,NA
290,NA,NA
291,NA,NA
293,NA,NA
295,535,445.3
298,276.4,250.8
300,533.6,506.1
301,549.4,527.1
302,526.5,369.8
304,NA,NA
305,528.9,442.4
307,534.1,379.1
308,NA,NA
311,273.9,273.2
312,268.6,76.6
313,799.6,561.6
314,262.6,244.8
315,NA,NA
317,801.1,705.4
318,537.2,439.8
319,NA,NA
320,527.1,415.7
322,NA,NA
324,538,404.5
325,551.2,503.4
326,527.5,408.2
327,538.9,522.1
328,NA,NA
330,NA,NA
331,805.1,731
332,NA,NA
333,272.4,225.2
334,547.14,424.6
335,274.7,231.5
336,270.4,253
337,NA,NA
338,NA,NA
339,270.9,265.4
341,NA,NA
342,537.3,NA
343,265.5,228.7
345,NA,NA
346,262.8,262.8
347,NA,NA
348,NA,NA
349,NA,NA
353,539.5,469.8
357,795.7,588.1
360,544.4,525.9
361,807,717.7
362,535.9,491.5
364,274.5,246.1
365,531.3,376.1
367,262.7,253.5
368,NA,NA
370,NA,NA
371,798.4,671.1
373,541.3,485.8
374,811.2,735.6
375,533.5,504.6
376,NA,NA
377,542.4,442.8
378,NA,NA
379,NA,NA
380,815.9,705.9
381,541.7,479.7
382,811,597.3
383,541.5,435.2
384,535.9,526.5
385,NA,NA
387,798.6,310.1
388,NA,NA
389,543.4,490
391,811.7,652.2
392,540.8,490.3
395,NA,NA
396,NA,NA
397,448.4,423.7
398,NA,NA
400,542.6,367.9
401,NA,NA
402,817.1,705
403,535.4,493.4
404,820.3,738.3
405,806.8,732.4
407,NA,NA
